id,title,vote_average,vote_count
10533,The Scarlet Letter,5.5,111
56088,The Show,5.3,2
10802,Showgirls,4.9,261
10149,Smoke,7.2,115
18402,Something to Talk About,5.7,60
9348,Species,5.5,457
139408,The Stars Fell on Henrietta,6.6,6
281,Strange Days,6.8,334
5967,The Umbrellas of Cherbourg,7.6,119
79593,The Tie That Binds,4.6,9
47939,Three Wishes,6.1,18
36834,Total Eclipse,6.5,112
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117
3512,Under Siege 2: Dark Territory,5.6,217
52856,Unstrung Heroes,6.4,9
77350,Unzipped,6,6
9560,A Walk in the Clouds,6.5,168
9804,Waterworld,5.9,1017
31611,White Man's Burden,5.1,25
65796,Wild Bill,5.9,27
49805,The Browning Version,6,11
26258,Bushwhacked,4.9,29
50797,Burnt by the Sun,6.7,35
19155,Before the Rain,7.7,45
76,Before Sunrise,7.7,984
11017,Billy Madison,6.2,464
37141,The Babysitter,4.7,27
9382,Boys on the Side,6.3,48
6715,The Cure,7.2,58
18256,Castle Freak,5.8,40
22625,Circle of Friends,6.5,30
2292,Clerks,7.4,769
1909,Don Juan DeMarco,6.3,184
8984,Disclosure,5.9,217
61813,Dream Man,2.5,1
4954,Drop Zone,5.1,91
62488,Destiny Turns on the Radio,5.3,9
10531,Death and the Maiden,7.1,92
11929,Dolores Claiborne,7.1,183
8467,Dumb and Dumber,6.5,1894
10451,Eat Drink Man Woman,7.5,76
20156,Exotica,6.5,64
18395,Exit to Eden,4.3,28
522,Ed Wood,7.3,639
397,French Kiss,6.2,179
10525,Forget Paris,6.1,38
27985,Far from Home: The Adventures of Yellow Dog,5.6,27
15789,A Goofy Movie,6.7,404
27303,Hideaway,5,24
21183,Fluke,6.6,48
10954,Farinelli,5.9,20
47867,Gordy,3,4
43475,Gumby: The Movie,5,2
72031,The Glass Shield,5.4,9
14275,Hoop Dreams,7.7,91
1024,Heavenly Creatures,6.9,299
17207,Houseguest,6,17
13701,Immortal Beloved,6.9,90
14819,Heavyweights,6,97
32631,The Hunted,6,25
11777,I.Q.,5.9,112
628,Interview with the Vampire,7.2,1558
87729,Jefferson in Paris,5.2,10
18713,The Jerky Boys,4.8,10
6280,Junior,4.7,381
9061,Just Cause,6,124
37108,A Kid in King Arthur's Court,4.3,40
6071,Kiss of Death,5.7,83
11,Star Wars,8.1,6778
9587,Little Women,7,222
19101,A Little Princess,7.4,207
49980,Ladybird Ladybird,7.4,14
17961,L'Enfer,6.6,22
18183,Like Water for Chocolate,6.6,70
4476,Legends of the Fall,7.2,636
11008,Major Payne,6.1,164
47504,Little Odessa,6.4,31
32325,Mi Vida Loca,5.7,9
43742,Love Affair,4.3,11
28313,Losing Isaiah,6.4,28
11318,The Madness of King George,6.7,67
3036,Mary Shelley's Frankenstein,6.1,272
40490,Man of the House,5.1,40
24070,Mixed Nuts,5.2,37
8986,Milk Money,5.6,49
10510,Miracle on 34th Street,6.4,199
17402,Miami Rhapsody,5.6,7
38722,My Family,7,11
8438,Murder in the First,6.9,140
11593,Nobody's Fool,7,56
1945,Nell,6.1,128
39310,New Jersey Drive,6.9,7
109560,New York Cop,0,0
56428,Beyond Bedlam,4,4
63105,Nemesis 2 - Nebula,4.6,10
131957,Nina Takes a Lover,7.4,4
241,Natural Born Killers,6.9,927
9058,Only You,6.4,92
527,Once Were Warriors,7.6,106
18220,Poison Ivy II: Lily,4.6,32
6950,Outbreak,6.4,522
101,Leon: The Professional,8.2,4293
63020,The Perez Family,6.6,9
2307,A Pyromaniac's Love Story,7,2
680,Pulp Fiction,8.3,8670
41478,Panther,6.4,6
25296,Pushing Hands,6.1,9
40156,Priest,6.4,32
11450,Quiz Show,7.1,262
30304,Picture Bride,7.4,5
10452,Queen Margot,7,67
12106,The Quick and the Dead,6.2,431
161495,Roommates,6.4,7
3586,Prêt-à-Porter,5.3,33
110,Three Colors: Red,7.8,246
108,Three Colors: Blue,7.7,311
109,Three Colors: White,7.3,218
159185,"Red Firecracker, Green Firecracker",7,2
36357,Rent-a-Kid,5.1,15
92769,Relative Fear,4.7,3
28033,Stuart Saves His Family,5,6
22586,The Swan Princess,6.5,251
14334,The Secret of Roan Inish,6.1,15
2636,The Specialist,5.5,317
2164,Stargate,6.8,942
11395,The Santa Clause,6.3,501
278,The Shawshank Redemption,8.5,8358
9905,Shallow Grave,7,247
87078,Suture,6,7
12527,Strawberry and Chocolate,7.1,16
20306,Swimming with Sharks,6.7,104
36614,The Sum of Us,6,21
27993,Senior Trip,5.7,23
31439,To Live,7.7,62
9067,Tank Girl,5.5,140
9059,Tales from the Crypt: Demon Knight,6.7,96
193,Star Trek: Generations,6.4,461
25066,Tales from the Hood,5.4,33
46797,Tom & Viv,5.8,8
12122,Village of the Damned,5.6,165
11381,Tommy Boy,6.8,321
32636,Vanya on 42nd Street,6.1,15
36141,The Underneath,5.6,15
95963,The Walking Dead,6.6,4
1587,What's Eating Gilbert Grape,7.5,943
9271,Virtuosity,5.4,163
2064,While You Were Sleeping,6.5,340
19855,The War,6.3,39
60855,Double Happiness,5.5,2
236,Muriel's Wedding,6.9,104
48287,The Baby-Sitters Club,5.3,23
3049,Ace Ventura: Pet Detective,6.4,1684
2759,"The Adventures of Priscilla, Queen of the Desert",7.2,174
12635,Backbeat,6.2,37
10497,Bitter Moon,7,115
11382,Bullets Over Broadway,7,130
9331,Clear and Present Danger,6.4,390
10731,The Client,6.4,287
10464,"Corrina, Corrina",6.4,83
34152,Crooklyn,6.7,31
9495,The Crow,7.3,980
29973,Cobb,6.1,29
888,The Flintstones,5,559
13,Forrest Gump,8.2,8147
712,Four Weddings and a Funeral,6.6,654
16295,Higher Learning,6.4,49
48992,I Like It Like That,6.3,4
10879,I Love Trouble,5.3,41
10660,It Could Happen to You,6.1,154
10714,The Jungle Book,5.9,107
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,5
8587,The Lion King,8,5520
1689,Little Buddha,6,76
11596,New Nightmare,6.4,297
854,The Mask,6.6,2550
9359,Maverick,6.6,490
23333,Mrs. Parker and the Vicious Circle,6.3,20
36593,The Naked Gun 33⅓: The Final Insult,6.4,535
12280,The Paper,6.1,40
2788,Reality Bites,6.5,180
10427,Red Rock West,6.4,71
11011,Ri¢hie Ri¢h,5.4,426
49803,Safe Passage,4.9,7
8987,The River Wild,6.1,214
1637,Speed,6.8,1814
15128,Speechless,5.5,24
8831,Timecop,5.5,288
36955,True Lies,6.8,1138
10449,When a Man Loves a Woman,6,71
10395,Wolf,6,221
12160,Wyatt Earp,6.5,203
40480,Bad Company,4.9,12
52038,A Man of No Importance,6.5,2
29444,S.F.W.,6.1,22
26352,A Low Down Dirty Shame,6,31
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",2,1
41580,Colonel Chabert,5.9,9
315,"Faster, Pussycat! Kill! Kill!",6.5,59
22067,Jason's Lyric,5.9,9
18242,The Secret Adventures of Tom Thumb,7.1,8
11667,Street Fighter,4.1,330
32502,Coldblooded,6.7,13
267188,Desert Winds,0,0
28732,Fall Time,6.3,6
75555,The Fear,3.4,7
42981,Frank and Ollie,7.5,4
278939,Girl in the Cadillac,10,1
291731,Homage,0,0
226229,Mirage,4,1
203119,Open Season,0,0
172923,Dos Crímenes,5,1
316098,Brother Minister: The Assassination of Malcolm X,4,1
8011,Highlander: The Final Dimension,4.5,110
171857,Federal Hill,5,2
2654,In the Mouth of Madness,7.1,307
18069,8 Seconds,7.2,22
19092,Above the Rim,6.7,40
2758,Addams Family Values,6.5,537
38129,Martin Lawrence: You So Crazy,4.5,4
10436,The Age of Innocence,7,172
13595,Airheads,5.8,222
46094,The Air Up There,5.1,42
9409,Another Stakeout,4.9,58
11853,Bad Girls,4.6,61
16771,Barcelona,6.6,20
46924,Being Human,5,15
11041,The Beverly Hillbillies,5,86
306,Beverly Hills Cop III,5.5,445
14522,Black Beauty,6.6,68
26203,Blink,6.3,45
178,Blown Away,6,126
19819,Blue Chips,5.7,41
57834,Blue Sky,6.1,28
4722,Body Snatchers,5.8,102
18215,Boxing Helena,4.5,59
1607,A Bronx Tale,7.4,447
26391,Cabin Boy,4.9,28
117553,Calendar Girl,3.7,10
6075,Carlito's Way,7.7,805
11310,City Slickers II: The Legend of Curly's Gold,4.9,103
18658,Clean Slate,5.7,25
9350,Cliffhanger,6.1,600
9612,Coneheads,4.8,228
2124,Color of Night,5.4,117
26261,Cops & Robbersons,5,36
19176,The Cowboy Way,5.1,38
49299,Dangerous Game,5.4,9
11566,Dave,6.3,205
9571,Dazed and Confused,7.4,588
9739,Demolition Man,6.4,1018
24257,The Endless Summer 2,7.1,12
34444,Even Cowgirls Get the Blues,4.2,29
26141,Fatal Instinct,5.4,37
10997,Farewell My Concubine,7.8,98
50463,The Favor,3.3,6
10443,Fearless,6.8,80
20239,Fear of a Black Hat,5.8,11
16297,With Honors,6.1,54
18551,Flesh and Bone,6.2,22
25440,Widows' Peak,4.3,3
9024,For Love or Money,5.7,77
37233,The Firm,6.6,513
1634,Free Willy,6,429
13815,Fresh,7.6,56
5503,The Fugitive,7.2,1240
35588,Geronimo: An American Legend,5.9,44
2087,The Getaway,5.4,81
41579,Getting Even with Dad,4.5,43
18620,Go Fish,3.9,5
41006,A Good Man in Africa,5.2,11
4916,Guilty as Sin,5.6,21
2019,Hard Target,6.1,237
31642,Heaven & Earth,6.4,51
9255,Hot Shots! Part Deux,6.2,463
26271,Live Nude Girls,4.7,12
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83
2259,The House of the Spirits,6.7,135
16097,House Party 3,4.6,11
11934,The Hudsucker Proxy,7.1,280
106143,I'll Do Anything,5.7,18
12475,In the Army Now,4.7,54
9386,In the Line of Fire,6.8,392
7984,In the Name of the Father,7.6,363
59930,The Inkwell,3.9,5
15765,What's Love Got to Do with It,6.9,75
31643,Jimmy Hollywood,4.6,17
6,Judgment Night,6.4,79
329,Jurassic Park,7.6,4956
10909,Kalifornia,6.5,209
507,Killing Zoe,6.1,111
34024,King of the Hill,6.4,33
29918,Lassie,6.1,54
9593,Last Action Hero,6.1,725
42580,Life With Mikey,5.1,24
22317,Lightning Jack,5.7,40
1413,M. Butterfly,6.6,35
12121,Made in America,5.3,86
2246,Malice,5.9,105
10502,The Man without a Face,6.2,125
10440,Manhattan Murder Mystery,7.1,169
9516,Menace II Society,7.2,179
2320,Executive Decision,5.8,261
5879,In the Realm of the Senses,6.5,112
83718,What Happened Was...,7,7
11971,Much Ado About Nothing,7.2,194
2625,Mr. Jones,5.9,35
31911,Mr. Wonderful,5.5,11
788,Mrs. Doubtfire,7,1638
21450,Naked,7.5,105
11231,The Next Karate Kid,4.8,202
41588,The New Age,4.8,5
10447,No Escape,6.1,86
31586,North,4.8,67
9300,Orlando,6.7,53
9559,A Perfect World,7.2,376
9800,Philadelphia,7.6,1019
713,The Piano,7.1,290
8291,Poetic Justice,6.9,47
18133,The Program,6,28
25557,The Puppet Masters,5.6,41
22588,Radioland Murders,5.8,12
10872,The Ref,6.7,99
1245,The Remains of the Day,7.5,213
11858,Renaissance Man,5.9,83
7007,Rising Sun,5.8,188
10467,The Road to Wellville,5.5,43
5550,RoboCop 3,4.2,309
8005,Robin Hood: Men in Tights,6.4,575
2088,Romeo Is Bleeding,5.7,36
10412,Romper Stomper,6.6,126
47889,Ruby in Paradise,5.6,10
14534,Rudy,7.2,187
56583,The Saint of Fort Washington,4,5
41878,Savage Nights,6.2,11
424,Schindler's List,8.3,4436
35233,The Scout,5.3,37
14291,Searching for Bobby Fischer,7.3,100
103413,Second Best,5.9,8
11236,The Secret Garden,7.1,232
11592,Serial Mom,6.4,137
8850,The Shadow,5.4,140
10445,Shadowlands,6.8,61
695,Short Cuts,6.9,136
43535,A Simple Twist of Fate,5.7,26
12519,Sirens,5.2,31
23210,Six Degrees of Separation,6.5,75
858,Sleepless in Seattle,6.5,630
867,Sliver,4.9,144
78,Blade Runner,7.9,3833
13203,Son in Law,5.6,81
10442,So I Married an Axe Murderer,6.1,131
11074,Striking Distance,5.4,223
33367,Harem,4,4
9607,Super Mario Bros.,4,236
17585,Surviving the Game,6.1,53
9057,Terminal Velocity,5,82
20967,Thirty Two Short Films About Glenn Gould,7.4,9
10635,Threesome,6.3,57
9479,The Nightmare Before Christmas,7.6,2135
10057,The Three Musketeers,6.2,219
11969,Tombstone,7.4,632
41590,Trial by Jury,5.5,5
319,True Romance,7.5,762
26408,The War Room,7.3,19
15139,The Pagemaster,6.2,178
161158,"Paris, France",6,2
218473,"The Beans of Egypt, Maine",0,1
85247,Killer,3,2
11446,Welcome to the Dollhouse,6.9,103
51980,Germinal,6.3,43
24405,Chasers,4.7,22
11655,Cronos,6.4,153
11800,Naked in New York,4,3
8223,Kika,6.8,58
14587,Bhaji on the Beach,5.1,10
31504,Little Big League,6,20
41653,The Slingshot,6.2,10
53185,Wide Eyed and Legless,0,0
95743,Foreign Student,0,0
23637,"Ciao, Professore!",7.2,74
17600,Spanking the Monkey,5.3,29
10897,The Little Rascals,6.3,214
349394,À la mode,0,0
21352,Andre,5,31
68806,The Escort,5,5
37345,Princess Caraboo,4.4,5
32562,The Celluloid Closet,7,24
47507,Café au Lait,6.8,4
25403,Dear Diary,6.9,46
124304,I Don't Want to Talk About It,6,1
9066,The Brady Bunch Movie,5.9,87
771,Home Alone,7.1,2487
251,Ghost,6.9,1381
812,Aladdin,7.4,3495
280,Terminator 2: Judgment Day,7.7,4274
581,Dances with Wolves,7.6,1084
80350,Tough and Deadly,6.3,4
268,Batman,7,2145
274,The Silence of the Lambs,8.1,4549
408,Snow White and the Seven Dwarfs,6.9,1973
10020,Beauty and the Beast,7.5,3029
10895,Pinocchio,6.9,1412
114,Pretty Woman,7,1807
41043,Window to Paris,6,6
576,The Wild Bunch,7.7,266
15477,Love and a .45,5.5,15
59146,The Wooden Man's Bride,6.5,1
124472,A Great Day in Harlem,7,2
30528,Bye Bye Love,6.1,20
7300,One Fine Day,6.1,160
10824,Candyman: Farewell to the Flesh,5,64
261246,Century,5,1
275,Fargo,7.7,2080
25059,Homeward Bound II: Lost in San Francisco,6,105
11827,Heavy Metal,6.3,150
8766,Hellraiser: Bloodline,4.9,111
23570,The Pallbearer,4.6,30
47333,Jane Eyre,7.1,51
54850,Loaded,4,3
51242,Bread and Chocolate,7.1,10
10112,The Aristocats,7.1,1287
4307,The Flower of My Secret,6.9,43
46029,Two Much,5.1,24
32308,Ed,3.6,24
88893,Scream of Stone,7.5,4
52873,My Favorite Season,6.4,4
123505,A Modern Affair,5,1
340210,Condition Red,4.7,3
44281,Halfaouine: Boy of the Terraces,7.4,5
28121,A Thin Line Between Love and Hate,5.7,15
12520,The Last Supper,6.5,82
1592,Primal Fear,7.4,644
166901,Rude,6,1
36447,Carried Away,5.4,5
19042,All Dogs Go to Heaven 2,5,50
38884,Land and Freedom,7,53
47449,Denise Calls Up,6.6,5
36259,Theodore Rex,3.6,17
41852,A Family Thing,5.6,14
40926,Frisk,3,3
9099,Sgt. Bilko,5.5,96
2021,Jack & Sarah,5.1,10
61752,Girl 6,5.7,17
10988,Diabolique,5.4,74
11479,"Little Indian, Big City",6,145
398959,Roula,5,1
287305,Peanuts – Die Bank zahlt alles,4,1
339428,Happy Weekend,0,0
12652,Nelly and Monsieur Arnaud,7.1,16
10684,Courage Under Fire,6.2,240
954,Mission: Impossible,6.7,2677
68445,Cold Fever,7.7,6
18989,Moll Flanders,6.2,19
10801,The Superwife,5.3,7
54285,"301, 302",6.2,10
8840,DragonHeart,6.4,553
278978,Und keiner weint mir nach,0,0
124625,My Mother's Courage,0,0
11107,Eddie,5.4,46
16417,Yankee Zulu,6,4
70934,Billy's Holiday,0,0
10363,Purple Noon,7.3,73
161070,August,5.3,3
10539,James and the Giant Peach,6.2,375
10543,Fear,6.1,157
18414,Kids in the Hall: Brain Candy,5.9,26
47502,Faithful,4.8,4
11902,Underground,7.5,143
27098,All Things Fair,6.1,23
25087,Bloodsport II,5.2,23
5801,Pather Panchali,7.9,63
896,The World of Apu,8.2,40
3065,Mystery Science Theater 3000: The Movie,7,71
318177,Tarantella,0,0
2300,Space Jam,6.5,1335
8069,Barbarella,5.7,149
288173,Hostile Intentions,8,1
187851,They Bite,5.5,1
27768,Some Folks Call It a Sling Blade,7.5,8
221917,The Run of the Country,8,2
8072,Alphaville,6.8,100
35797,Coup de Torchon,6.8,21
88030,Tigrero: A Film That Was Never Made,7.5,4
185191,The Eye of Vichy,0,0
83857,Windows,5.8,9
33245,It's My Party,6.2,9
124460,Country Life,8,1
27281,Operation Dumbo Drop,4.7,37
105045,The Promise,5,1
40001,Mrs. Winterbourne,5.5,26
29621,Solo,3.9,18
117730,Under The Domim Tree,6.5,2
20762,The Substitute,5.8,60
37144,True Crime,5.1,7
48260,Butterfly Kiss,7.4,5
12656,Feeling Minnesota,5.5,29
38867,Delta of Venus,3.3,5
277270,To Cross the Rubicon,0,0
25969,Angus,6.8,24
44103,Priest Daens,6.7,15
753,Faces,7.1,36
43634,Boys,5.3,11
9103,The Quest,5.3,126
90214,Cosi,7.1,9
29649,Sunset Park,5.1,7
10990,Mulholland Falls,6.2,73
8866,The Truth About Cats & Dogs,5.7,86
12233,Oliver & Company,6.5,372
23449,Celtic Pride,4.9,35
36355,Flipper,5.3,85
37667,Captives,6,10
90148,Of Love and Shadows,4.4,11
922,Dead Man,7.2,397
11876,The Horseman on the Roof,6.7,25
52633,Switchblade Sisters,6.6,27
62364,Mouth to Mouth,5.5,5
11687,The Visitors,7.1,433
9304,Multiplicity,5.5,158
73183,"The Haunted World of Edward D. Wood, Jr.",10,1
131232,Two Friends,0,0
9100,The Craft,6.3,388
20759,The Great White Hype,5.1,29
46063,Last Dance,5.6,9
365371,War Stories Our Mother Never Told Us,0,0
32513,Cold Comfort Farm,7,21
40651,"Institute Benjamenta, or This Dream People Call Human Life",7.7,11
36915,Heaven's Prisoners,5,17
40507,Original Gangstas,5.5,5
9802,The Rock,6.9,1474
25697,Getting Away with Murder,5.5,6
21588,Cemetery Man,7,105
664,Twister,6.1,966
11867,Barb Wire,3.9,117
47119,Le Garçu,5,1
314352,Honeymoon,0,0
9323,Ghost in the Shell,7.8,854
10280,Thinner,5.5,125
10535,Spy Hard,4.9,148
124613,Brothers in Trouble,0,0
532,A Close Shave,7.5,223
26744,Force of Evil,6.6,33
16299,The Stupids,4.2,22
10547,The Arrival,6.1,200
245268,The Man from Down Under,0,0
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,1472
55613,Careful,7.8,4
215107,Vermont Is for Lovers,0,0
41007,A Month by the Lake,7.2,7
35645,Gold Diggers: The Secret of Bear Mountain,5.8,20
110465,Kim,7,5
255546,Carmen Miranda: Bananas Is My Business,10,1
40751,Ashes of Time,7.1,73
275096,The Jar,8,3
85778,Maya Lin: A Strong Clear Vision,0,0
11101,Stalingrad,7.4,116
9826,The Phantom,4.7,138
9879,Striptease,4.4,210
63564,The Last of the High Kings,5.7,15
22621,Heavy,7.7,11
7095,Jack,5.9,340
26890,I Shot Andy Warhol,6.1,32
46732,The Grass Harp,6.1,4
124633,Someone Else's America,0,0
202425,Life is Rosy,6.5,2
196940,Quartier Mozart,5,1
77771,Touki Bouki,7.3,10
181083,God's Gift,5,1
41225,Spirits of the Dead,5.5,24
188589,Babyfever,0,0
87190,Pharaoh's  Army,6.3,5
627,Trainspotting,7.8,2737
32872,Til There Was You,3.9,4
602,Independence Day,6.7,3334
14553,Stealing Beauty,6.6,99
9566,The Fan,5.7,202
10545,The Hunchback of Notre Dame,6.8,1182
9894,The Cable Guy,5.7,603
11543,Kingpin,6.7,248
9268,Eraser,5.6,553
52059,The Gate of Heavenly Peace,6.7,3
9327,The Nutty Professor,5.4,717
123763,"I, the Worst of All",6.8,3
81949,An Unforgettable Summer,7.2,6
42005,A Hungarian Fairy Tale,0,0
124306,My Life and Times With Antonin Artaud,8,1
183955,Midnight Dancers,7,1
44535,Somebody to Love,5.1,2
44495,A Very Natural Thing,6.3,3
78285,The Old Lady Who Walked in the Sea,0,0
11228,Daylight,5.8,385
10779,The Frighteners,6.7,413
26748,Lone Star,6.9,79
38223,Harriet the Spy,5.7,47
9294,Phenomenon,6.2,328
49963,Walking and Talking,6.6,8
11363,She's the One,5.7,71
1645,A Time to Kill,7,522
31546,American Buffalo,6.2,9
77056,Rendezvous in Paris,6.5,4
36344,Alaska,5.2,32
18550,Fled,5.2,49
11511,Kazaam,3.6,60
172198,Magic Hunter,6,1
34170,Larger Than Life,5.4,35
281085,A Boy Called Hate,6,2
109478,Power 98,4,1
124645,Two Deaths,7,2
12606,A Very Brady Sequel,5.8,42
69895,Stefano Quantestorie,6,1
35206,Death in the Garden,7.4,8
151489,Hedd Wyn,6.5,2
4837,La Collectionneuse,6.5,25
12632,Kaspar Hauser,6.3,4
9098,Regular Guys,5.2,9
282919,Diebinnen,4,1
124614,The Convent,6.5,6
18975,The Adventures of Pinocchio,5,55
11962,Joe's Apartment,5,87
2925,The First Wives Club,6.5,172
28628,Stonewall,7.2,10
3595,Ransom,6.4,482
9308,High School High,5.4,51
92381,Phat Beach,5.4,8
18555,Foxfire,6.3,30
12123,Chain Reaction,5.3,291
10830,Matilda,6.9,892
3573,Emma,6.7,152
10546,The Crow: City of Angels,5.2,119
18862,House Arrest,5,32
31417,Eyes Without a Face,7.5,130
9431,Bordello of Blood,5,63
124619,Lotto Land,7,1
