Tweet,Sentimental,:),:-),:d,thanks,love,good,thank,see,happy,great,:(,:-(,miss,please,want,can't,time,sorry,one
THEY DIDNT EXPECT THAT OMG THEIR FACES :((((( IM SO PROUD OF YOU INFINITE,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I like u sm :-(,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
@malgotoja hi Maggie- afraid my knowledge of Mull is limited (nil!:)). Have a look at @walkhighlands web page- definitely best place to look,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@ayushmannk long time no see :/ where have you been ? :p,Positive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
@The_Witty_SRK @DeewaniVeronica Counted it too :p 28* Bnte hain ;p,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@BrownOwlOrchid @Girlguiding @GirlguidingScot @GirlguidingNL @suewalker_ you'd love it :),Positive,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@awselu follow back me pleasse :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@wbuharryy i love you :(,Negative,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Konga""@BeemanNONI: Well... ""@_topeh: ni wa*""@iCUM_Thrice: Ode ni e""@_topeh: K ""@iCUM_Thrice: I need to be disvirgined..like seriously! :(""""",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@marilynemy_ good night :),Positive,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"@Ileana_Official reallY hAppY tOdaY ..... WaT u DonE fOr Us muahhh :)

May God BlEss U :)",Positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@sonzhi No, I am going to spend the night in Prague and then leaving tomorrow :(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@ButDinero your so fake I texted you :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
genial :-) http://t.co/cMehv4MT2w,Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Half 10 start :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@treybaimbridge @hdez_emmy @IAmAlii1 @Abir_Khusro don't want you to ruin your dreams by thinking you're batman :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
@DJ_Browning I'm going to the Olympic stadium tonight in the rain :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Corbyn must understand Labour's new members to change the party's fortunes http://t.co/7JhaSTESp8 And yet another rant from this woman :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
goTDAMN  :-( http://t.co/KkPDlQZ2F4,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Happy Friday :-) http://t.co/0SI94HQcHm,Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@Susansuzt @SimonBedford Ta, same to you both :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hey girl you must be Google Plus because I can't convince any of my fr ends to hang outfwith you. :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
@AvrilLavigne U r so brave n strong avril so never give up n keep smiling :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My throat hurts so bad what do I do? :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AdvAddict_15 Follback ya :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@NamanGarg26 no immediate plans but hopefully someday in the future :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@Yorkshireccc @YCCCDizzy Have a good match 2nite boys - lets go out of this comp on a high and just enjoy it! :) #vikings #T20Blast,Positive,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"That's three words! But then again, that's what Rohit does to you :D https://t.co/YacazN2T0h",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@chenonceaus @YoMadridismo we are young, we will outlive him &gt;:(",Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thanks mom :),Positive,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I know I should be packing. But procrastinating is so much more fun. :) Plus I need some outfit sorting... http://t.co/ep39uOZsoM,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Splendour :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@siaramelatienza  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wanna go to singapore :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@PinkCloud_RP so when will i get my jonghyun hyung? :( please predict it :(,Negative,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
@iMartyn Happy birthday! Didn't know wolves had birthdays :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@TeamGtwy Thanks for adding us to your list! :) Make sure to keep in touch for more news of our light bulbs made from corn waste.,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@Dsitando eish ive been quit i know...i lost my twitter mojo shame...n i dont know how to get it back :( mara im sure you can help me neh,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"@waddoboro - doesnt it just, but where do they go from here, thats the question :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@JhMarkotsis am driving up tomorrow if you still wanted to come? :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@Shadypenguinn take care! :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hopefully I get to see my bff tomorrow 
:(",Negative,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"When your bff's extremely stressed and you can't do anything but pray... 

:(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
@Wilpy1 Too late. :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"@OhHeyItsAJ Shit.. I suggest na suck it up muna :( I know its hard, but being a nurse is more important right?",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IM NOT SCREENSHOTTING IM SO PROUD OF MYSELF :(((,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"@boyhuptuquruq FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@Cupacoco @CBBCTV @CBBCNews Interview with the Newsround News Hounds at 7:40 today :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@LittleMix have fun in Germany :( I can't be there 😭,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"""I shouldn't b called a friend if I am not there when needed"" :) ...https://t.co/lfSZl8UbXt",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@babypuffinator it does, you could have misread worse things :p",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@sanahaq17 okay :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
literally have torn my room apart looking for my retainers :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@bekazt :-) i read about today and I'm so excited !!,Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@sam_mcclure Looks like it's gonna be a long night the only good thing so far is the roof :(,Negative,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"@iamsrk sir,please announce don 3!!! i am badly waiting for it!! :(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"WTF is wrong with people...shooting up a movie theater, smh....damn people cant even live a good life :(",Negative,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"@uptownctw P£T£, Heiya, visit my site if u wanna grab a FREE 30.000 8 Ball Pool Coins. Thank you :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@nicefurby my dad said no sorry :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
@maibasyony I love you much more ♡♡♡ I swear emta hatigii b2aa :(((((,Negative,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@__GiveawayDMs_ it's actually 1 AM here hehe :) where do you live? It's strange to imagine...,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burnout ? no more !! :D
http://t.co/g1VYf8OFnX
#JohnForCEO #CEO1Month @AdeccoWaytoWork @AdeccoMalaysia",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@AlamiHasson #دعمم للعودة للحياة, Heiyo, visit my website for FREE 50.000 Coins in 8 BALL POOL now! Thanks :D",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@ellenRstewart where are you off to next? :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@BionsenBeauty would love to win this deo is faaaaaabulous! :D #FreebieFriday #aluminiumfree #stayfresh xx,Positive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@___mew2 tb in mr o's class :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HP LOW DONG :((((((,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@Adacampbell thank you Ada :D. Long time no see,Positive,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
@HerFaithness it is &amp; I'm already having a bad day :-(,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
@UltraVratik @DesaiEshita @jitubhaiyajgd @dineshaol @SmilingShivani @payalpatil148  @jgdpalak #ashramcalling returns :p,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"$10,000 for Tank! :D OUTSTANDING! Thankyou to every single donation from all of you, that got us h... http://t.co/PLQRn4fDRN",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photo: feetblog101: :) http://t.co/6ZcJeWCqro,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@Lamb2ja Hey James! How odd :/ Please call our Contact Centre on 02392441234 and we will be able to assist you :) Many thanks!,Positive,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@haleyannmcallum Happy B-Day :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@FionaBunn1 Forgot to ask, but may I post it on FB? Happy Friday :-)",Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New bio. Bodo amat :-(,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
@Dued1_Roblox  credits to Rocro13glodyysbro :p,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#AskAMan in few :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@osehxn94 reserve with the password, okay? : )",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@dhwanidamani All set then. We just have to wait for the notification to install Windows 10 on your PC. :) ^MM,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@marypcbuk I don't see things as theres only one way to teach someone and raise awareness. anyway .. time for some real work ::) @aral,Positive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
@TwilitArgorok I hope everything's ok. *hugs* :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@DawsePaul haha I guess I'm not a video game nerd. I do like Christophe Gans' other films though - check Brotherhood of the Wolf out :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@styles_meital aw :( can you make it on monday?,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@kevinngmingyuan peasant seats to watch a peasant team...I don't mind :p ahahha,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"angelica really pulled out the ""I'm going to college in Idaho"" card on me :-( I hate her",Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
@padaleckbye. No prob.nice choker btw :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
damn forgot about my hot chocolate :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@onlytheshelley 6pm is when the doors open for everyone with  (VIP/general) tickets to get there seats early and watch support acts!!:),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@KyuminpuVELF a lot of people suggest, but they still aren't :(!",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@cartinelliaf i miss them :(( but i hate pll :((,Negative,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
why they cut the encore i wanna see snsd infinite interaction :(,Negative,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The finale of Parasyte fucked my feelings alllllll the way up :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@diegxdelrey is this on ur computer? mine did it too :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@CptFrantastic tentatively nibbling an apple and it seems okay :) xxx,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@Erick_Mocha lol.Hook up :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@JayMcGuiness  :-( please notice mefd,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
MTAP tomorrow which means I have to sleep early tonight. :-(,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Galing ni founder ♥ loveyaaaah ⅛ :))
-⅞ ∞",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMG :D #TweetOfTheDecade :Pa https://t.co/jBoixkQj2h,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@kinagrannis @lawyermomIowa Kina.  YOU are the best.. loves.  :) Hi Donna! :)

So great seeing you tonight!",Positive,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"@jhapaliMailo , some people :((
How r  u?",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@Kimberly_171 my poor baby :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hello :) Now Playing ''Yello - The Race'' on http://t.co/XspzQRmRVl,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@nwoje I'm in London in the rain :( but was booking one! Hope you didn't have to hear horrible grumbling about ""migrant activity"" #gross",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"If you have streaming passes for Melon, please stream as much as you can. #인피니트 's Digitals are so #Bad :(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"@BloutAngelina FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I want to dance rn :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Thank you @platform4prose :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Off cycling with #thegrandad and @MonkeyNinjaYT :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@Rorington95 did they manage to sort your ticket issue mate? Nobody picked up when i rang the box office :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Randomly just booked tickets to go #BuckinghamPalace because of @kategarraway @benshephard @GMB but can't wait now :)) should be good,Positive,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
I wish my dog liked to cuddle :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@roofbsuzy @roofyuna @roofsinb @roofchaelin @roofaim @roofjackson  dah move on :)),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ain't it too early forrit!!..wah happened to tea,bread and bacon/butter @Alpacino_jay: Done with the Afang soup, making semo is next :D""",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@Concept_Nathan nathann💕 I never got a chance to take a pic with you :( got a hug tho! Pic next time I see you?😊,Negative,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
One more sleep til the wedding :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@hanpdf it's you :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@5sos_solo PLEASE PICK ME IF U WANT MAKE ME HAPPY BC TODAY I'M SICK :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@cherryboyJJ :( then pls don't think you're not good enough ^__________^ let him be. if he's missing this chance then it is his fault,Negative,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Why do I need to have a car that functions as a car :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I miss my long black hair. :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
@daddyksoo and yes its been a while vicky omg :-(((((,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
@UrTypicalDragon @MC_Lindseyy yes jack i fucking am :) thanks.,Positive,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@THExDOGFATHERx YOU ROCK! Thank you so much for the mention :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulet gendut :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
anyone has the pic of taeyeon's derp in channel snsd hahahaha pd didn't zoom into hers :((( LMAO SUNNY's. BESST.,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@yearsandyears gimme european dates :((((((((,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Awww thank you :)  https://t.co/9tSQv2DWVm,Positive,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
@Geordnet hehe cool :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@charliebudd @painterspitstop @HarriDec @1paintology6 @KingsDecor @FreshDecorators Wrong password/recall thingy not working is the prob :-(,Negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
next year for sure though :) there's only 2 girls that piss me off,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i drew @JustinNFJK :))
#WIP #SWS #crush @SWStheband http://t.co/DGiqiOR63a",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@JackJackJohnson please put it on spotify too please? :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"This woman just gave me the warmest greeting, w a chin tickle even, but I think she has the wrong girl :(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@Rodarosexx sure babe :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Found someone I met long ago in Malta to come to @tomorrowland with me with the extra ticket I had :) #GTO #Tomorrowland #incall,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@aysegul_k im literally crying right now :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I want to ESCAPE please :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"♛♛♛
》》》》 
I LOVE YOU SO MUCH.
I BELİEVE THAT HE WİLL FOLLOW.
PLEASE FOLLOW ME PLEASE JUSTİN @justinbieber :( x15.349
》》》》ＳＥＥ ＭＥ
♛♛♛",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@TripVerse @outboundapp thanks for sharing! Wishing you a wicked weekend :),Positive,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@AahliyahR it's not funny :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@IvyTenebrae Hope you feel better. :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"I am in every way like Jess. :)
http://t.co/otGCWw1gUu",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@TeamTall17 @FlashHayer  but doesn't even follow back :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
